Game_id,Game_name,Developer,Publisher,Release Date,Price,Metacritic Score,Headsets,Input,Play Area,Genre,Support Language
250820,SteamVR,Valve,,,,,;valveindex;htc;oculus;windowsmr,;vr_input_motion,;seated;standing;roomscale,,;English;French;Italian;German;Spanish - Spain;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Spanish - Latin America;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian;Vietnamese
630980,LEGO® Batman 'The Batmersive Experience',Warner Bros.,Warner Bros.,"10 May, 2017","
							Free						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
613920,A CHALLENGE,"Brigantine Films, LTD.","Brigantine Films, LTD.","11 May, 2017","
							Free						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
743060,FreeFall 4K (VR),QubaVR,,"1 Dec, 2017","
							¥ 205						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
1056890,Vienna | Sphaeres VR Travel | 360° Video | 8K/2D,Atmosphaeres,Atmosphaeres,"9 Apr, 2019","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
1056880,London | Sphaeres VR Travel | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"16 Apr, 2019","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
790870,Mallorca | Sphaeres VR Experience | 360° Video | 8K/2D,Atmosphaeres,Atmosphaeres,"1 Apr, 2018","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian
1056910,Ireland | Sphaeres VR Experience | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"30 Apr, 2019","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
1056900,Portugal | Sphaeres VR Experience | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"9 Apr, 2019","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
857630,Pebbly Beach | Sphaeres VR Nature Experience | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"21 Sep, 2018","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian
924110,The Bavarian Alps | Sphaeres VR Relaxation | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"23 Aug, 2018","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian
815980,Sun & Clouds | Sphaeres VR Travel Timelapse | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"6 May, 2018","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian
828360,Attracting Abundance | Sphaeres VR Guided Meditation | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"19 Jul, 2018","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
633140,The Blank Canvas - Hacking Nature,The Blank Canvas,The Blank Canvas,"10 May, 2017","
							Free						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
750970,Dream Beach - Mallorca | Sphaeres VR Experience | 360° Video | 8K/2D,Atmosphaeres,Atmosphaeres,"14 Nov, 2017","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian
897920,Tibetan Singing Bowls | Sphaeres VR Relaxation | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"17 Jul, 2018","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English;French;Italian;German;Spanish - Spain;Arabic;Bulgarian;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese;Korean;Norwegian;Polish;Portuguese;Portuguese - Brazil;Romanian;Russian;Simplified Chinese;Swedish;Thai;Traditional Chinese;Turkish;Ukrainian
632280,Under the Canopy,"Jaunt, Inc","Jaunt, Inc","11 May, 2017","
							Free						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
633210,The Hunger Games 360,Lionsgate,,"18 Aug, 2012","
							Free						",,;valveindex;htc;oculus,;vr_input_motion;vr_input_kbm,;seated;standing,,;English
738790,SONAR - A Virtual Reality Experience,Filmakademie Baden-Württemberg GmbH,Philipp Maas - SCOPE - Virtual Content Studio,"11 Feb, 2016","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English;French;Italian;German;Spanish - Spain;Arabic;Portuguese - Brazil;Bulgarian;Traditional Chinese;Simplified Chinese;Danish;Finnish;Greek;Japanese;Korean;Dutch;Norwegian;Polish;Portuguese;Romanian;Russian;Swedish;Thai;Czech;Turkish;Ukrainian;Hungarian
1056940,Ireland | Experience | 360° Video | 6K/2D,Atmosphaeres,Atmosphaeres,"1 May, 2019",,,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
451450,Hollywood Hills Mansion,"LOOT Interactive, LLC","LOOT Interactive, LLC","3 Feb, 2017","
							¥ 520						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing;roomscale,,;English
668180,Ghost Ship,Gone Coyote,,"28 Jun, 2017","
							Free						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
737480,AI Nightmare,Lindero Edutainment,Lindero Edutainment,"28 Apr, 2018","
							¥ 205						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
922120,Dark Corner,Dark Corner,Dark Corner,"1 Oct, 2017","
														¥ 205													",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
630530,Pixvana 360 Production Series,Pixvana Productions,Pixvana Productions,"8 May, 2017","
													Free												",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
727230,Shwedagon Pagoda 360 (Burma),Camerado Movies and Media,Camerado Movies and Media,"1 Dec, 2017","
							¥ 100						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
769620,SAMSKARA,SAMSKARA LLC,360art,"10 Dec, 2015","
							¥ 410						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
1059450,My World in 360 3D,Andrii Shramko,Andrii Shramko,"29 Mar, 2019","
							¥ 520						",,;valveindex;htc;oculus,;vr_input_motion;controller;vr_input_kbm,;seated;standing,,;English
